"proyecto_id","proyecto","capacidad","fecha_estimada_fpo","energia_kwhdia","usuarios","inversion_estimada_cop","empleos_estimados","emisiones_co2_tonano","tipo_proyecto","municipio","codigo_municipio","departamento","codigo_departamento"
52,ZONA FRANCA LA CAYENA,1.7999999523162842,2021-11-25,8640.0,1498,7740000000,13,2523.0,Solar,Barranquilla,8001,Atlántico,8
53,COMPLEJO SUR BOGOTÁ,0.30000001192092896,2021-12-10,1440.0,250,1290000000,2,420.0,Solar,Bogotá D.C.,11001,Bogotá D.C.,11
54,CEO GD Y AG (34 Proyectos),10.020000457763672,2022-05-31,48096.0,8340,43086000000,70,14044.0,Solar,Popayán,19001,Cauca,19
55,EDEQ GD Y AG (64 Proyectos),1.1299999952316284,2022-05-31,5424.0,941,4859000000,8,1584.0,Solar,Armenia,63001,Quindío,63
56,ELECTROHUILA GD Y AG (125 Proyectos),2.3499999046325684,2022-05-31,11280.0,1956,10105000000,16,3294.0,Solar,Neiva,41001,Huila,41
57,GR PARQUE SOLAR TUCANES,9.899999618530273,2022-05-31,47520.0,8240,42570000000,69,13876.0,Solar,Cartagena De Indias,13001,Bolívar,13
58,PARQUE EÓLICO GUAJIRA I,19.899999618530273,2021-12-31,191040.0,33128,85570000000,55,55784.0,Eólico,Uribia,44847,La Guajira,44
59,LA LOMA SOLAR (ENEL GREEN POWER),170.0,2021-12-31,816000.0,141503,731000000000,1183,238272.0,Solar,El Paso,20250,Cesar,20
60,DELPHI HELIOS 1 Fase 1,9.899999618530273,2022-02-23,47520.0,8240,42570000000,69,13876.0,Solar,Villavicencio,50001,Meta,50
61,Comando Aéreo No.1 de Palanquero,1.2000000476837158,2022-03-06,21.0,4,5160000000,8,6.0,Solar,La Dorada,17380,Caldas,17
62,BOSQUES SOLARES DE LOS LLANOS 4,19.899999618530273,2022-05-31,95520.0,16564,85570000000,139,27892.0,Solar,Puerto Gaitán,50568,Meta,50
63,BOSQUES SOLARES DE LOS LLANOS 5,17.899999618530273,2022-05-31,85920.0,14899,76970000000,125,25089.0,Solar,Puerto Gaitán,50568,Meta,50
64,CABRESTERO,3.0,2022-04-15,14400.0,2497,12900000000,21,4205.0,Solar,Villanueva,85440,Casanare,85
65,LA MEDINA,9.899999618530273,2022-07-31,47520.0,8240,42570000000,69,13876.0,Solar,Armero,73055,Tolima,73
66,LOS CABALLEROS,9.899999618530273,2022-07-31,47520.0,8240,42570000000,69,13876.0,Solar,Armero,73055,Tolima,73
67,CERRITOS,9.899999618530273,2022-07-31,47520.0,8240,42570000000,69,13876.0,Solar,San Sebastián De Mariquita,73443,Tolima,73
